ts,ppg_raw,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr
1776161571548,2070898,-14.298486,-2.4357722,1.8489834,1.8081611,-0.112399206,-1.9511036,101
1776161571586,2070301,-15.306804,-1.9831065,2.3567352,1.4147639,-0.010995574,-2.0720549,101
1776161571625,2069669,-11.903429,-1.5232557,2.7998207,1.8118263,-0.24312437,-2.7574458,101
1776161571665,2069570,-8.579091,-0.9197016,3.0393262,2.1160371,-0.3848451,-3.0396655,101
1776161571706,2070475,-9.441312,-0.469431,1.621453,2.0720549,-0.25900686,-2.7317894,101
1776161571745,2071444,-9.893977,-0.85264003,1.920835,1.1398746,-0.22968534,-2.0305161,101
1776161571785,2071882,-9.577829,-0.8741955,3.1303384,0.20647246,-0.2968805,-1.3952162,101
1776161571827,2071498,-8.655733,-1.0442445,3.1447089,-0.26511553,-0.1563815,-0.90285885,101
1776161571867,2071228,-7.01991,-0.71372676,2.682463,-0.35796702,0.10629055,-0.5119051,101
1776161571907,2071938,-5.927764,-0.72330695,2.601031,-0.2773328,0.38362336,-0.036651913,101
1776161571949,2073078,-6.354084,-1.1137011,2.9578943,-0.3567453,0.57543504,0.6035349,101
1776161571985,2073928,-6.8211203,-1.0011334,3.5470781,-0.5925393,0.63163465,0.91751957,101
1776161572027,2073954,-6.9241076,-0.8574301,3.6524606,-1.1924089,0.75136423,1.7592919,101
1776161572066,2073887,-7.4031186,-1.3939227,3.6404853,-1.1154399,0.6927212,2.3518312,101
1776161572106,2074337,-9.391015,-1.875329,3.8153245,-1.2583824,0.5900958,3.042109,101
1776161572146,2075163,-12.1381445,-2.1076493,4.3661876,-1.7421877,0.5204572,3.408628,101
1776161572186,2075719,-14.317646,-1.9663411,4.7230506,-4.0292673,-0.052534413,3.3487632,101
1776161572228,2075991,-16.406136,-3.0321412,3.8033493,-3.4892623,-0.5009095,2.5900686,101
1776161572266,2076434,-14.209868,-4.950581,2.730364,-0.81245077,-0.5045747,1.6517797,101
1776161572305,2076330,-9.16109,-4.533841,1.8130575,0.105068825,-0.37507126,1.3414601,101
1776161572347,2076659,-8.250969,-4.109916,1.6837245,1.6285667,-0.21746802,1.0567969,101
1776161572386,2077927,-8.361141,-5.070334,2.6513271,1.6261233,-0.4642576,0.7696902,101
1776161572425,2078303,-8.12882,-4.763767,2.3064392,1.2082914,-0.6536258,0.065973446,101
1776161572465,2078266,-8.488079,-3.6069546,1.8633537,0.8246681,-0.6743952,-0.41172317,101
1776161572506,2078536,-8.461734,-2.2681181,1.3699721,0.18448131,-0.6010914,-1.4636332,101
1776161572547,2078536,-8.461734,-2.2681181,1.3699721,0.3933972,-0.5705481,-2.01219,101
1776161572588,2078328,-9.537114,-2.684858,1.8034773,0.6927212,-0.56688297,-2.4288,101
1776161572625,2077239,-10.097557,-2.428587,2.0429828,0.79534656,-0.55833083,-2.5864034,101
1776161572665,2075839,-10.557407,-1.8633537,2.4046364,0.90285885,-0.56321776,-2.783102,101
1776161572705,2075839,-10.557407,-1.8633537,2.4046364,0.8222246,-0.5717699,-2.765998,101
1776161572746,2072785,-10.394544,-0.6682207,3.1423137,0.516792,-0.5143485,-2.1917844,101
1776161572787,2072417,-10.0736065,-0.3664436,3.2596714,0.43004912,-0.40194935,-1.8460348,101
1776161572826,2072618,-9.347904,0.63948,3.3961897,-0.53878313,0.0061086523,-0.3042109,101
1776161572867,2073088,-9.3598795,1.0705901,3.7602382,-1.3903292,0.16615535,0.7049385,101
1776161572905,2073760,-10.305926,-0.31854248,3.8943613,-1.5723672,0.20280726,1.1239921,101
1776161572945,2074425,-9.122769,-0.35207325,3.6644359,-1.9401081,0.12095132,1.473407,101
1776161572986,2074425,-9.122769,-0.35207325,3.6644359,-1.4501941,-0.112399206,1.7654005,101
1776161573025,2077041,-9.026967,-1.3675771,2.3567352,-1.2669345,-0.12339478,1.9730947,101
1776161573065,2078513,-9.549089,-2.0070572,2.2920687,-1.5271631,-0.096516706,2.2638667,101
1776161573105,2079308,-9.60657,-2.2968588,2.2896738,-1.8863518,-0.02076942,2.547308,101
